0 0 -170010 0
0.698 0 -16690954 0
0.698 0.453789590108597 -700040 0.608950920081538
0.698 0.0021333333333331 -25411454 -0.448230283157659
-0.873 0.0021333333333331 -12800732 -0.448230283157659
-0.873 1 -210012 -0.806336693530933
-0.873 0.0021333333333331 -26901539 -0.39486083684741
-0.175 0.0021333333333331 -13400766 -0.39486083684741
-0.175 1 -510029 -0.0972748188788122
-0.175 0.417820690322015 -1310075 -0.067157998868328
-0.175 0.0021333333333331 -24001373 0.444387651976771
0 0.0021333333333331 -22401281 0.444387651976771
0 0.666666666666667 -710041 0.0852017131526611
0 0.0021333333333331 -25901481 0.543913486499153
